bigram,freq
"('brown', 'paper')",1
"('paper', 'bag')",1
"('bag', 'The')",1
"('The', 'jean')",1
"('jean', 'look')",1
"('look', 'so')",14
"('so', 'different')",1
"('different', 'online')",1
"('online', 'the')",3
"('the', 'pair')",1
"('pair', 'i')",3
"('got', 'did')",1
"('did', 'not')",36
"('not', 'have')",6
"('have', 'the')",10
"('the', 'stone')",1
"('stone', 'washed')",1
"('washed', 'look')",1
"('look', 'and')",9
"('wa', 'completely')",5
"('completely', 'different')",4
"('different', 'cut')",1
"('cut', 'the')",5
"('the', 'rise')",2
"('rise', 'is')",2
"('a', 'stated')",2
"('stated', 'and')",1
"('and', 'is')",11
"('is', 'actually')",1
"('actually', '10')",1
"('10', '5')",2
"('5', 'inch')",2
"('inch', 'also')",1
"('also', 'i')",3
"('a', 'true')",1
"('true', '25')",1
"('25', 'and')",1
"('waist', 'is')",1
"('is', 'like')",4
"('a', '27')",1
"('27', 'but')",1
"('the', 'leg')",4
"('leg', 'are')",2
"('are', 'super')",1
"('super', 'skinny')",1
"('skinny', 'i')",1
"('m', 'so')",6
"('so', 'disappointed')",19
"('disappointed', 'and')",4
"('not', 'even')",13
"('even', 'sure')",2
"('sure', 'if')",3
"('if', 'is')",1
"('is', 'worth')",2
"('worth', 'swapping')",1
"('swapping', 'out')",1
"('out', 'for')",1
"('for', 'a')",49
"('a', 'smaller')",4
"('smaller', 'size')",4
"('size', 'these')",1
"('these', 'look')",1
"('look', 'more')",4
"('like', 'men')",1
"('men', 's')",1
"('s', 'cut')",1
"('cut', 'jean')",1
"('jean', 'Only')",1
"('Only', 'one')",1
"('one', 'sleeve')",1
"('sleeve', 'is')",2
"('is', 'folded')",1
"('folded', 'twice')",1
"('twice', 'and')",2
"('and', 'sewed')",1
"('sewed', 'meh')",1
"('meh', 'Much')",1
"('Much', 'to')",1
"('my', 'surprise')",2
"('surprise', 'when')",1
"('when', 'i')",76
"('i', 'tried')",45
"('on', 'this')",16
"('this', 'sweater')",20
"('sweater', 'i')",3
"('i', 'found')",9
"('found', 'that')",3
"('that', 'it')",30
"('wa', 'cut')",2
"('cut', 'in')",3
"('a', 'bell')",3
"('bell', 'shape')",2
"('and', 'not')",15
"('not', 'at')",13
"('all', 'fitted')",1
"('or', 'straight')",1
"('straight', 'like')",2
"('like', 'in')",3
"('photo', 'when')",1
"('i', 'pulled')",7
"('pulled', 'it')",4
"('it', 'out')",9
"('the', 'package')",10
"('package', 'i')",4
"('i', 'thought')",30
"('thought', 'i')",9
"('i', 'd')",14
"('d', 'ordered')",2
"('the', 'wrong')",5
"('wrong', 'size')",3
"('size', 'because')",2
"('because', 'the')",13
"('shoulder', 'looked')",1
"('looked', 'so')",7
"('so', 'narrow')",1
"('narrow', 'but')",1
"('but', 'when')",14
"('tried', 'it')",18
"('shoulder', 'fit')",1
"('fit', 'perfectly')",5
"('perfectly', 'with')",1
"('with', 'beautiful')",2
"('beautiful', 'detail')",3
"('detail', 'and')",1
"('and', 'high')",3
"('high', 'quality')",6
"('quality', 'material')",5
"('material', 'but')",3
"('the', 'sweater')",18
"('sweater', 'belling')",1
"('belling', 'out')",1
"('out', 'to')",3
"('to', 'a')",15
"('very', 'wide')",13
"('wide', 'shape')",1
"('shape', 'it')",1
"('wide', 'at')",2
"('the', 'hip')",11
"('hip', 'and')",4
"('and', 'look')",12
"('look', 'out')",1
"('of', 'proportion')",1
"('proportion', 'it')",1
"('it', 'doesn')",9
"('doesn', 't')",25
"('t', 'look')",13
"('look', 'anything')",4
"('anything', 'like')",4
"('the', 'phot')",1
"('phot', 'I')",1
"('I', 'wanted')",7
"('wanted', 'to')",26
"('to', 'love')",15
"('love', 'this')",13
"('this', 'blouse')",14
"('blouse', 'so')",1
"('so', 'much')",32
"('much', 'but')",1
"('but', 'try')",1
"('try', 'a')",2
"('might', 'it')",1
"('just', 'fit')",2
"('fit', 'so')",1
"('so', 'oddly')",1
"('oddly', 'on')",1
"('on', 'me')",30
"('me', 'i')",13
"('a', 'petite')",6
"('petite', 's')",2
"('s', 'so')",9
"('so', 'i')",46
"('i', 'purchased')",11
"('purchased', 'the')",4
"('the', 'x')",9
"('x', 'in')",3
"('in', 'brown')",1
"('brown', 'first')",1
"('first', 'the')",2
"('the', 'color')",58
"('wa', 'more')",8
"('more', 'gray')",1
"('gray', 'brown')",1
"('brown', 'but')",1
"('wa', 'still')",8
"('still', 'ok')",1
"('but', 'second')",1
"('second', 'the')",3
"('fit', 'wa')",14
"('wa', 'off')",1
"('off', 'maybe')",1
"('maybe', 'i')",3
"('i', 'just')",10
"('just', 'got')",1
"('bad', 'one')",1
"('one', 'but')",2
"('the', 'center')",5
"('center', 'of')",1
"('the', 'blouse')",6
"('blouse', 'wa')",1
"('wa', 'so')",45
"('so', 'offset')",1
"('offset', 'that')",1
"('that', 'the')",23
"('the', 'slit')",4
"('slit', 'in')",2
"('front', 'laid')",1
"('laid', 'so')",1
"('so', 'far')",3
"('far', 'to')",2
"('the', 'left')",2
"('left', 'and')",1
